1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,1,37,,72,,2017-09-01 12:38:32 PM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1,In Service,False,39
,0,3,,79,,2017-09-01 12:11:12 PM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1,In Service,False,3
,12,13,,82,,2017-09-01 12:36:41 PM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1,In Service,False,27
,36,25,,83,,2017-09-01 12:38:29 PM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,1,In Service,False,62
,8,29,,116,,2017-09-01 12:36:21 PM,40.74177603,,-74.00149746,,W 17 St & 8 Ave,,W 17 St & 8 Ave,1,In Service,False,39
,5,14,,119,,2017-09-01 12:38:46 PM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1,In Service,False,19
,0,19,,120,,2017-09-01 12:38:50 PM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1,In Service,False,19
,25,5,,127,,2017-09-01 12:37:05 PM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1,In Service,False,31
,25,5,,128,,2017-09-01 12:38:45 PM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1,In Service,False,30
,22,2,,143,,2017-09-01 12:38:26 PM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1,In Service,False,24
,13,5,,144,,2017-09-01 12:38:37 PM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,1,In Service,False,19
,16,22,,146,,2017-09-01 12:38:57 PM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,1,In Service,False,39
,1,30,,150,,2017-09-01 12:35:37 PM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,1,In Service,False,31
,29,1,,151,,2017-09-01 12:37:17 PM,40.7221037867,,-73.9972490072,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1,In Service,False,33
,19,7,,152,,2017-09-01 12:38:35 PM,40.71473993,,-74.00910627,,Warren St & Church St,,Warren St & Church St,1,In Service,False,29
,0,1,,153,,2017-08-28 09:20:28 AM,40.752062307,,-73.9816324043,,E 40 St & 5 Ave,,E 40 St & 5 Ave,3,Not In Service,False,24
,11,12,,157,,2017-09-01 12:37:45 PM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,1,In Service,False,23
,34,0,,161,,2017-09-01 12:38:33 PM,40.72917025,,-73.99810231,,LaGuardia Pl & W 3 St,,LaGuardia Pl & W 3 St,1,In Service,False,35
,33,5,,164,,2017-09-01 12:39:18 PM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,1,In Service,False,47
,13,31,,167,,2017-09-01 12:35:57 PM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,1,In Service,False,45
,33,12,,168,,2017-09-01 12:36:37 PM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,1,In Service,False,47
,10,36,,173,,2017-09-01 12:39:15 PM,40.760683271,,-73.9845272899,,Broadway & W 49 St,,Broadway & W 49 St,1,In Service,False,51
,1,29,,174,,2017-09-01 12:38:51 PM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,1,In Service,False,30
,22,23,,195,,2017-09-01 12:36:23 PM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,1,In Service,False,45
,11,17,,212,,2017-09-01 12:38:34 PM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,1,In Service,False,28
,14,8,,216,,2017-09-01 12:35:38 PM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,1,In Service,False,23
,6,30,,217,,2017-09-01 12:39:04 PM,40.70277159,,-73.99383605,,Old Fulton St,,Old Fulton St,1,In Service,False,39
,2,31,,223,,2017-09-01 12:38:02 PM,40.73781509,,-73.99994661,,W 13 St & 7 Ave,,W 13 St & 7 Ave,1,In Service,False,33
,0,0,,224,,1969-12-31 07:00:00 PM,40.71146364,,-74.00552427,,Spruce St & Nassau St,,Spruce St & Nassau St,3,Not In Service,False,0
,34,20,,228,,2017-09-01 12:38:33 PM,40.7546011026,,-73.971878855,,E 48 St & 3 Ave,,E 48 St & 3 Ave,1,In Service,False,55
,16,6,,229,,2017-09-01 12:38:58 PM,40.72743423,,-73.99379025,,Great Jones St,,Great Jones St,1,In Service,False,23
,22,1,,232,,2017-09-01 12:37:59 PM,40.69597683,,-73.99014892,,Cadman Plaza E & Tillary St,,Cadman Plaza E & Tillary St,1,In Service,False,23
,3,36,,236,,2017-09-01 12:36:40 PM,40.7284186,,-73.98713956,,St Marks Pl & 2 Ave,,St Marks Pl & 2 Ave,1,In Service,False,39
,10,29,,237,,2017-09-01 12:38:56 PM,40.73047309,,-73.98672378,,E 11 St & 2 Ave,,E 11 St & 2 Ave,1,In Service,False,39
